review_id,user_id,business_id,text,stars,categories,review_count_business,stars_business,review_count_user,average_stars_user
qiY3Ks60GWchrvCbA8XZ3g,ouODopBKF3AqfCkuQEnrDg,zjNcjqgQlPrbnn-pV5YCSg,"I love tea, especially if it is of excellent quality.  The tea here is overpriced for the quality.  The dragon well longjin is quite mediocre, in particular.  The other teas are pretty creative and worth a try but only that.  I mean, it's over $20 for a half pound!",2.0,"Coffee & Tea, Food",39,2.5,2108,3.57
Hb0VO6w_cPyLRS8_jNDEog,ouODopBKF3AqfCkuQEnrDg,mfTE6x39X0vjNhy8mBwp0A,"Got a multi-grain bagel and coffee here this morning, and, to be honest, I am not a big fan of the ""improved"" artisan bagels.  They are a bit too doughy for my taste and the multi-grain didn't have that great nutty taste.  At least the coffee was decent.  Service was very meh.",2.0,"Coffee & Tea, Donuts, Food",16,2.5,2108,3.57
3j8-zD_sUJvwOeDqYer4qg,ouODopBKF3AqfCkuQEnrDg,4gyjrSazXr3JNTvNYOJJBg,"They have a lot of vegetarian options, which is nice, but it's pretty typical takeout.  The portions are good, and the chicken in the stir-fried dishes is not heavily coated in starch.  The brown sauce is decent but nothing special.  It's a good takeout option if you manage expectations.",3.0,"Chinese, Restaurants",65,3.0,2108,3.57
wr_gUwhUcGBsgvy8HLWrSA,ouODopBKF3AqfCkuQEnrDg,iMw_LReFjEsvhFGrU1EKqQ,"Love this little hole in the wall place!  My shrimp over rice plate was delish, huge, and only $6. Plus they are super fast and I had my takeout in less than 5 min. I saw them cooking the dish in the kitchen. It's a no frills cafe but the food is fantastic and very authentic Cantonese home style.",5.0,"Chinese, Restaurants",139,4.0,2108,3.57
Rj1kyVa95SXiE5EQuBxVcw,ouODopBKF3AqfCkuQEnrDg,_qTgNBEvVhcXD1lHksz8RQ,I love the thin mint ice cream. It's like a cold creamy girl scout cookie. Give me two scoops in a waffle cone and I will be a very happy camper.  It can be very busy in the evenings but is worth the wait. They also ave healthier options like fro yo but I'm going for my favorite heart attack in a cone.,4.0,"Food, Ice Cream & Frozen Yogurt",70,4.5,2108,3.57
2VR6Gh_THmvRc-P1bDRUcg,gjxv-7WqYy_aK1ZAUreBFg,lhsQkb5nhf-Kd5OvgB9MNg,"It was a little pricey as others have said. The food was decent, nothing to rave about. I had the Titanic Boat special and spinach dumplings. Dumplings were different and quite good, even with no meat inside. Took a little bit of time for the food to come, but that's because everything was made fresh (obviously since it was sushi).",3.0,"Japanese, Restaurants, Sushi Bars",191,3.5,62,4.13
_9uB3WAwHxBA01Dzrfx-Mw,QWxW_pApmpY9iPApC8P-UQ,Rbjt0lAkzV7qv_H-5WYQPQ,"The drinks here are standard fare but the jazz/funk band that played here was freaking amazing.  We came here twice because of them.  This was on Friday and Saturday between 2-4pm.  All of them rocked it out of the house, especially the saxophone man, his runs were ridiculous.  

4 stars.",4.0,"Bars, Nightlife",27,4.0,1306,3.6
AYNDP7DPVTtLVtEnb__mbA,UVUIi0q38pAvsfuEEppe0Q,bLbjB2EeIQLFUS9ofKS-lw,"I don't think that Peach Wave was necessarily better as an experience (I gave it 4 stars).  I think I might be starting to get over this craze as a separate ""cool"" experience.  Still enjoyable, great yogurt, and fun toppings.  Just not a 4-star thing anymore.",3.0,"Food, Ice Cream & Frozen Yogurt",113,3.5,3246,4.32
zuT8WTgEWBsRgwK14jccAg,7Na1pUcEv3oF_QTRwZ-2iw,2Y0L3Hf6U-76jGvviKy5pA,"YUM YUM YUM

I love this place!

Favorites to order:

-California Burrito
- Enchiladas
- Veggie Burrito

Their service is great, dining room is always clean, they have never screwed up my order, and my husband and I can eat here and still spend less than 20$ total!

Love it!",4.0,"Mexican, Restaurants",115,3.0,839,4.18
RG2KeNrhbJJ7zVriqNMG_Q,7Na1pUcEv3oF_QTRwZ-2iw,cddHhcgWKZP2NkluhzE5VA,"How stupid is this bank? They have 2 entrance doors one for the ""outside"" atms and then one into the main bank branch. How about when the main bank was closed the other day, around 6 pm, some dumbass locked the doors restraining access to the atms. Some location. psh, take my money elsewhere.",2.0,"Banks & Credit Unions, Financial Services",7,3.5,839,4.18
d223KuJIKW8vCJT3sPxSGA,KVbMZV-XJPSH9wXEwuXIaA,RxIei9FPswrqWNbOrvvAiA,"Pretty good so far, does need some upgrading though and not as clean as I am used to.  It seems one other toilets are always clogged.  By biggest pet peeve is the young man who works nights parking in the handicapped space by the front door (silver VW) - doesn't seem to have a handicapped placard or plate....",3.0,"Active Life, Fitness & Instruction, Gyms, Trainers",83,2.5,426,2.69
VFxKiCDNBVJj6yRZgPYI6Q,pPvsrGX78-vP6IctzU1-oQ,W65QAD282-NkxF4JUOsMwQ,"Great barber shop experience. I was greeted with a cold beer. Had a great cut from Sherie. The environment is relaxed and friendly. They have off-street parking which makes it easy to get in and out. The price was average for a good haircut in NOLA: $35. I will defiantly be back. Sorry ""other guy"".",5.0,"Barbers, Beauty & Spas",74,4.5,70,3.95
Z2rE6LS7QMKrygG_6hqx1g,3J44PSuAqDNdY3L4WXWZUw,hF2a683wH9CXwrYZnLhSZA,"Same shit, new shop... details of the quality service provided below:

https://www.yelp.com/biz/daves-wissahickon-barber-shop-philadelphia?hrid=U3dWh-l1iUIBmCwzxVx7Vg&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct)

Dave or Carlos no matter... go get your head right.",5.0,"Barbers, Beauty & Spas",13,4.5,99,4.79
Onp_MSPsJtGL9-7QCSuvyQ,TaByJybLHGn9QXGE8fBklA,jssubXBNkiSJIhbKuDtmpQ,"Off the beaten path sushi spot, great for locals who want a bite to eat on a cute patio without a wait. I've been going here at least once a month for the past couple years. Fish is fresh, they have good rolls if someone is looking for ""American"" sushi and their house cabbage salad is delicious.",4.0,"Japanese, Restaurants, Sushi Bars",203,3.5,47,3.51
a6NPOyxSNa5arKtq9NWvVA,7LmJ87EijrHcoYRu9WgoHg,grjFEAN9gXOKQFEta4yBJg,"The ""original"" loses its lackluster when there are so many other ""franchises"" along the block.  Yes, liquid pixie stick is the best way to describe it.  So long as you follow the one-and-done philosophy, you'll make it alive out of Bourbon Street without gagging - too much.  [Last Visit: November 11, 2011]",3.0,"Bars, Nightlife",227,4.0,1050,3.18
gEk0bmiFTRGcJMB08PLlEg,pxyzkPY6a4FVF0aDjBgC8w,I2OUwtTdmCXCpcP9iPnaQg,"The trainers and vibe are super friendly and helpful. The trainers have great tips and work to find a tip that works for you. The variety of versa climber, weights, running and rowing keep you engaged the entire class. The facilities are clean and new too! Not to mention, you'll get a whole body workout you won't regret.",5.0,"Active Life, Fitness & Instruction, Gyms, Trainers",12,5.0,3,4.33
bJNpNTwvMqc9S-yroeCO5w,eTvp_hYnsrI5-ow_sQ31_g,zZ_xsIQfotnHe25MxQyg0g,"Drive-through at about 4 a.m. today. My daughter wanted a meal. I wanted a diet DP.

Drive-through attendant on the squawk-box confirmed dinner was served, so Miss C. got her meal.

I got my diet DP. Deliverer of food was incredibly gracious and nice. Miss C. wanted extra ketchup, which was delivered appropriately.

Great service.",4.0,"Burgers, Coffee & Tea, Fast Food, Food, Restaurants",59,2.0,1028,4.05
EKG-b9Uh6SeMNZW35Dab6A,kLm3B6LeboEZWX_4otpILA,ifEkf8JxP3RCBeszcIGLww,Came here while in town for work. Ordered the Baked Gnocchi as an appetizer and it was very good. Also ordered a pasta dish that I can't seem to recall but I remember it being very solid as well. Prices were reasonable and the service was friendly. Will definitely come back here.,4.0,"Italian, Restaurants",176,5.0,1670,3.65
ktUyHub-9Z_hP7a1BrmFaA,kLm3B6LeboEZWX_4otpILA,8BLTQlfijNA2LSFEz-d3hg,"Stayed here while in town for work. The hotel itself is very very nice but like others have mentioned, the ongoing construction around the area makes it a hassle. Hotel was very clean and grand. Service was friendly and the wifi was fast. Rates were pretty expensive but you certainly do get what you pay for.",4.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",374,3.5,1670,3.65
MaSjL7gjWRiDq-qKtRdD-g,OgYi5x02MBukfxPNFe1ePg,3sMGEl72eiDbble1RO34ng,"Smaller size but great service! 

There is a bar right by the front window and maybe 1 table and two chairs.
The parking is not the most convenient, it should be open in the back to park but you just have the front and side options.

Not the best bucks to work from but an easy stop when hitting up spots up and down the pike!",3.0,"Coffee & Tea, Food",35,3.0,1516,3.84
l2NwQ8Hc9nbqeA1yd5mI2w,1z2aJu1qTk_gQa2NRfK1HA,N4Y4xjyAjBhiacMp6LlD6w,"From the moment I stepped into the restaurant, I was greeted with a smile. Right off the bat, I knew that this was going to be great place. The restaurant is very clean and presentable.

It is typical Chinese food you can get other places, but the staff and the cleanliness of he restaurant made it much better.",4.0,"Chinese, Restaurants",23,3.5,122,3.54
PpuUC-pYq_JmERb25LMInQ,zlXlvI_IKONWpzOXugfwbA,9k_KLh2GEu4iW83TAzUVtw,"We had a fantastic time here one Tuesday night, thanks for the most part to the terrific service.

Each cocktail was carefully prepared and well-balanced. Music selection caused us to forego our other plans and stay at the Bends.

If I'm ever back in St. Pete, you'll find me here.",5.0,"Bars, Nightlife",76,4.0,338,3.5
0M1tLPRsErRumLiJN9gWoA,xwm5nymG7-CraHZsX130tA,zXjTB9vd6847MlDqXLkaqA,"The pizza here is phenomenal. The chefs are from Italy and are award winning. The dough and all ingredient are simple. The cheeses are imported. The breads are fresh made. 

This place is a great choice for a date or group dinner.  The outside patio is very nice with great music.",5.0,"Italian, Restaurants",51,4.0,20,3.81
0QstQzYiN5AUyAlqM0k7yw,HM8mOekJ028ck9yfTpldPw,oPGO-nEPGOkLfDbtgnXSRw,"I haven't been here in a couple years -- but they used to have one of the best selections of Grateful Palate wines in the country -- a most visit for those in search of top end Aussies. Give them a call. They always treated me like I was a VIP -- really great experience.

Best wine in the bayou.",5.0,"Beer, Food, Wine & Spirits",12,4.5,621,3.51
y5wRnr0u8q94OXmDpk0i4A,lf1m4CbheuUR7fFZoLGRvA,36rOfWjUgQ4q-qruijBjCQ,"AC/DC: Blows on my face, I hate that....
Cleanliness: Good
Decor: Really Cool
Price: Good
Shower: Great, plenty of hot water
Location: In the heart of it all

Great place to stay near everything, junior suite with separate living room, very cool, very comfortable. Huge Flat Screen TV 50 inches......",3.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",71,3.5,1126,3.86
wXAELnPzStZXegWMhUUy6A,lf1m4CbheuUR7fFZoLGRvA,X0yZMHwB1yUyzISAqRyYtQ,"Room: Semi-clean
TV: Old Style
Bathroom: Dirty
Bed: Comfortable
Hotel: Old
AC/DC: Yes it blew on my face

Front Desk was great and very helpful. Not as good as the last 2 Marriott's I stayed at but I'm still a fan. The location is great for an early flight to Detroit, MI. I'm an elevator ride to my gate, very cool!",3.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",120,3.5,1126,3.86
73U2C10auE3eQDMDWKeIqg,GG0mFsEXb-02_dzFPqRV1Q,3sMGEl72eiDbble1RO34ng,"3:00 on a Sunday afternoon. Walked in to order an iced coffee. Was told they're ""too backed up"" and aren't taking any more orders. What!? You're a coffee shop! I asked if that was even for iced coffee and was told yes. 

Mind. Blown. 

Never had that happen in my life at any Starbucks.",1.0,"Coffee & Tea, Food",35,3.0,754,3.46
OlWkNZveQZTJQ0UsuDDx8w,nPJw7YpKgHE6fowxgl3l1A,dSPA4yql9vUwnYRxHiVtHA,"I LOVE LOVE LOVE THIS PLACE!!! 

Some of the most fun rolls and its BYO! :) I like to sit at the bar and watch the guys rolling.  

MY favorite rolls are the Sixers, NE Viking, Spicy Capt'n Crunch oh the list goes on... dynamite roll is a winner too.. 

You MUST get the rock shrimp tempura - nice and spicy! :) yum!!!",5.0,"Japanese, Restaurants, Sushi Bars",209,3.5,157,4.06
35laR6a-wQ20XLV8KiUg_g,k_muz40jJaiY1PVga6NDXA,nOGP3pgjLq5GHfIvb6ouXQ,"I love this place. If you don't want to go through the trouble of doing your own car at a DIY car wash like Bubbles nearby, this place is nice, thorough, and it leaves your car very clean. In addition the staff is knowledgeable and quite friendly.  This has become one of my standby carwashes in the area.",4.0,"Automotive, Car Wash",14,2.0,1070,3.84
njwEPKXGahieZE3CqODeww,tGxC-bdojFzROxk9oepRgQ,yWk13ePLz5VupvE1OdvmCQ,"Fun restaraunt for families. The owners have twin little boys that happened to be there when my kids were eating. We had a great time & now each time I come back, with or without children, they always ask. Its nice to have good food & unbelievable service. Good service is hard to find.",4.0,"Japanese, Restaurants, Sushi Bars",287,3.5,40,4.0
O0o6wUDTtgloovXctp7-wg,zHvS1F_6wOPSLUk6vpDEGA,pKONQc8eYlnF0L54YpJdQQ,"After reading the reviews here, I was super excited for some delicious Mexican food. What we got was minimal service, bland food, and long waits. My Enchiladas Supremas were very bland and watery. The salsa didn't have much flavor either. It was a cute environment, but I don't really plan on returning due to subpar food.",2.0,"Mexican, Restaurants",309,4.5,1171,3.64
TrvdP2jkYPAK77_ykWxIDA,ojxS1v-8nUvEEx4DlsPQrA,od6skmfXz9twktEAuJHEmw,"A solid neighborhood brunch spot with a number of breakfast options.  I sampled the Creole Omelet, which was strongly flavored with andouille sausage, roasted peppers, perfectly melted Jack cheese, peppers and a delicious Chipotle sauce with a little kick - a great choice!",4.0,"American (New), Restaurants",120,4.0,655,3.69
WZoJCktUHtKHte-G8vQ_dA,ojxS1v-8nUvEEx4DlsPQrA,WIv5kTb_P3jnngPkMeRRNw,"This might be Jay's Favorite, but it's certainly not mine.  The fish is reasonably fresh and it's reasonably priced (3 for $10.25), but you get what you pay for in terms for fish quantity.  If you're desperate for cheap sushi with free delivery, it's an option, but I'd look for a quality sushi experience elsewhere.",2.0,"Japanese, Restaurants, Sushi Bars",97,3.5,655,3.69
8tHyqG52o32rIV0GfC8Now,2OLohmwFrl8ru4w1mUXtyw,CyRctT_s-FOTDI4UmgIAQA,"The typical kind of bar like atmosphere (like an ""Ale House"")  Nothing too exciting.  I tried their Clam Chowder and was of course disappointed, it was salty and too thick.  We did try the burger and the fish sandwich which were pretty decent.  Might be a good place to watch a game and have a beer....",2.0,"American (New), Restaurants",8,3.0,371,3.85
zN_pte2OVC0usCVuhwNTHw,xyad5PXaHTdKrdNClXbMqQ,C9Tz2xr7kozygfeGSb4GsA,"I have been to Koi three times, once for take out and the other two to dine in.  

The atmosphere is cool, and the service is pretty good.

The sushi is a bit overpriced, but they do have some different things on the menu, which makes the prices a bit easier to deal with.

I",3.0,"Japanese, Restaurants, Sushi Bars",74,3.5,138,3.08
r5_kM6F90Nn6SSaqrjapzw,xyad5PXaHTdKrdNClXbMqQ,V9pSmHb0c-9SSqx5GJbYPg,"I've been to Ooka a bunch of times.  

This place is pretty good.  I've gotten a wide variety of their rolls and sashimi-all of which is pretty damn good.

Great seats at the sushi bar-amazing to watch.

The servers are always polite, and the price is right on for what you get.

Good sake to boot!",4.0,"Japanese, Restaurants, Sushi Bars",253,4.0,138,3.08
e-r6uQCxwRiSia3abmm6oA,xyad5PXaHTdKrdNClXbMqQ,hdGSVYYrLFS4iNufBX3q6A,"This bar is a no frills bar located in Northern Libs.  It is filled with mostly locals who don't want to fight with a bunch of people for seats and shit like that. 

This bar is exactly what it appears to be.  This is a place where you can walk in, get service with a smile, and leave without spending 485983 dollars on drinks.",3.0,"Bars, Nightlife",57,4.0,138,3.08
QKEllK37GmRawCi2tg_azQ,PBA1rCTmVaI5APfQ1WgbyQ,BU1i0eApGAL29Kbr7S_SqQ,"Came here with family while on vacation. Very disappointed. The crust was horrible, the sauce was bland, the toppings sucked, and it was grossly overpriced. It's essentially expensive fast food pizza. I would have rather ordered a chain pizza place and saved the money. Do yourself a favor and don't eat here.",2.0,"Italian, Pizza, Restaurants",33,3.0,623,3.89
ab6Nm3st5uLrN8Vt0Hcrhw,lT0jFHCIloX3bnF5eu0ERg,aCHS5pnDjChkHpFo4-EfKg,"This is a quiet neighborhood BYOB, cozy interior. The fare is basic American-Italian, nothing super authentic nor experimental. It's cheap and pretty good for the spectacular pricing. Our waiter was very friendly on the one visit we've made. I'd go again if I were in the neighborhood.",3.0,"Italian, Restaurants",225,3.5,262,3.96
yOTcoiaWwBUeu2ZE9ztbmA,JiUmz7l4rNz4-YmOj13i9g,W19eP0aH9XqQ9IIn4UDIgw,"when I want wings, and I'm in the mall, I come here. they're pretty good. no flavor explosions. but good for what you pay for. I was especially disappointed with the gumbo. I know, you don't come here for the gumbo, i you do expect it to be pretty tasty... it wasn't.",3.0,"American (Traditional), Restaurants",22,2.0,808,3.79
d-Hj2JrxP4wwPgUpWXPQMg,cLpT9ZCzgr7H6BWqDRs2Og,BoXRqHSLmnhKbi4hcezQ6g,"Great wine shop right around the corner from e, and next-door to Publix. The staff is always extremely helpful and inviting. They have a huge selection of different wines. I have even seen wine tastings in there on the weekends. Overall one of the best choices in the area.",4.0,"Beer, Food, Wine & Spirits",20,4.0,336,3.92
r6X-D8LTrjRwBE_KgA1DiQ,q-gpZeBLnhCBATuQzT6ANA,JB5C6fwtkXBVpmpSJ2iiFw,"I have now been here twice, huge selection of toppings, and I mean HUGE selection!!! One thing that sealed the deal with me coming back was that they have a good selection of non-dairy ice cream. Sorbet to be honest. 

It's always busy cause it's yummy :)))",5.0,"Food, Ice Cream & Frozen Yogurt",7,4.5,432,3.65
erb82IjqRXFtj-GF8K_CTQ,IyIsFkVY48JWa01inv-7zA,JbxOWK2tMUkNmYPvjPBVoA,"The music can be quite good here. Drink prices were in line for Bourbon street. It is the typical Bourbon street bar, a bit run down as far as appointments. So nothing very impressive about the facility. But the bands are good, and the folks here are having fun.",3.0,"Bars, Nightlife",143,3.0,2904,3.72
NmiqII9PG3xELjJ_w8eA3Q,IyIsFkVY48JWa01inv-7zA,4JWuSA8tyXHteRgh_hU_Cw,"I have stayed here quite a few times over the years. it has a convenient location, but  the rooms can be small, and you do get quite a bit of noise from the riverboats. I still like it, the courtyard is charming and the staff are helpful. You can often find great online discount prices for rooms here.",3.0,"Event Planning & Services, Hotels, Hotels & Travel",355,4.0,2904,3.72
JQiWE2Q2rJ2ZUEzJb26vsw,YdoiyM2IeN4ymZOKA156HA,FAc2Mv92KL00cbLdpAc0kQ,"Best Pizza in Carp! Not my all time favorite, but this is my local go-to spot. Granted I like to actually go there, cuz the place is usually filthy and if there's a crowd it gets noisy. They do a trivia night on Mondays which is fun. And karaoke on Wednesdays which sounds awful...",4.0,"Pizza, Restaurants",195,3.0,233,4.11
yQVA4o90nZtWH5k3kTjRKg,AiwVzxg4paqeDX82O4oFLg,9nkYaCQRyO0fi8SrXDFhGw,"I only ever come here because this market is two blocks from my place. If I were feeling not-so-lazy, I would make the hike to Trader Joe's. The staff are nice and they offer a wide variety of produce and groceries, but you pay a hefty premium for its location.",2.0,"Food, Grocery",113,2.5,264,4.18
HtVKMoRsDorLSL0uvPo46Q,2pzrdZiY66lRAlqgnPFtRA,T7PaPNgJ1zs53VYsoSlbCg,"Fast, friendly and HONEST.  Amazingly, when I brought my car to Crown Honda - read my review about them :-( they wanted $150 for what this place did for $50.  I was in and out in less than 30 minutes and paid what I was quoted.  So simple, yet a challenge to find in this day and age.",5.0,"Auto Repair, Automotive, Oil Change Stations, Tires",11,4.5,404,3.7
p1YW_F0foKYt6m9Ygcr1zQ,2pzrdZiY66lRAlqgnPFtRA,JgpnXv_0XhV3SfbfB50nxw,"Joe's Pizza provides late night food when you need it most.  Located on N Dale Mabry, they cater to the crowd partaking in the strip clubs, but with drive though pizza it definitely beats the usual fast food late night options.

Joe's pizza is NY style, so expect a slice you can pick up and fold, with a nice crunch to the crust.",3.0,"Pizza, Restaurants",35,4.0,404,3.7
0hG-NXnLaoVOTQuVpVaZIQ,cEDMie5DjE_00sJ23H2q9Q,Mg8C8mh2RULn71hWXMiHLQ,"I have been here twice since they have changed hands.  I am a big fan of their beer selection!  Their burgers are A-ok and the service was good.
I think it should do good considering that the parking lot is usually full and there are only two choices for dinner and beer in Harleysville.",3.0,"American (Traditional), Restaurants",6,3.5,43,4.04
teQ8Nom4qcNm46QNoC8_LQ,HnpouZXIQHeqezf5gWchhQ,7zJ2m_b-VdThJ5zpnwXSOQ,"I love salon bass.  I found it for my wedding -- Garrett was one of the stylists and he is fantastic -- and have since been back to get bangs and trims.  It is a comfortable, clean, friendly environment.  I got my husband to go also and they give him great haircuts too.  For the quality, I think the price is completely reasonable.",5.0,"Beauty & Spas, Hair Salons",201,5.0,12,4.0
BC6nD3HpwQqUrlRmKI4XLw,g0_x4kVvJAYuk96oCcbOmw,C7UNcd4OuXxOZUU36tBalQ,"Again, we've all been to Dunkin so I'll leave impressions of the food to you and let's talk service and selection. As this is a smaller shop, the selection isn't as good as at some of the larger places, with limited offerings that quickly run out through the day. Service is pleasant but can sometimes be inattentive.",3.0,"Coffee & Tea, Donuts, Food",14,2.0,455,3.38
yivHQDt1fbY2naNnSE0wrg,UxgoEIGhqsKDXuSx2P10_Q,rR2mWg0ybsUe5smIedz4Gg,"I just recently attended a conference there,  The hotel itself was very nice.  Rooms very clean, new and very large. I would give the hotel itself a high rating.  The food was terrible.  Awful They need to up their game. If you are attending a conference there I would suggest you not plan on eating.  Food was less than 1 star.",2.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",279,3.0,20,3.08
2hQhwxP1yAN2784_pRAq6Q,6Mv-qMJyxSokCu8YFM1o0A,gq4zw-ru_rkZ2UBIanaZFQ,"This place is the worst McDonalds in the world. I know that sounds hard but this place is run by total morons, it is disgustingly dirty, the wait times are atrocious and the food (which should be exactly the same as any other McDonalds) is untasty and tossed in the bag like it was made by mentally deranged criminals.",1.0,"Burgers, Coffee & Tea, Fast Food, Food, Restaurants",38,1.0,202,3.57
77DnrrzxS3l6f2mLOIdbiA,_BcWyKQL16ndpBdggh2kNA,dJ8AAGs-Hodc3dC9YFj-uA,"We buy liquor here on occaision because it is convenient.
I think the PA liquor laws are really strange and generally nonsensical.
They did have some chilled prosecco, though and that was great as I was on my way to a BYO.

Not a GREAT store - but OK in a pinch.",3.0,"Beer, Food, Wine & Spirits",11,2.5,4274,3.69
uG0pI8gGpT_41nEiib_PhA,_BcWyKQL16ndpBdggh2kNA,RpiYZ9IMI95-ytpxgS1ChQ,"OMG - so overpriced for what it is.
I just had the $14 triple - an open-faced grilled cheese, French onion soup and a small salad, plus an iced tea.

My friend had an $18 burger and a beer.

Lunch was $52 after tax & tip.

Very nice food - but not THAT nice.
Sheesh.",3.0,"American (New), Restaurants",268,3.5,4274,3.69
9UC_dyxgsYSIfz-6xgH4FQ,_BcWyKQL16ndpBdggh2kNA,ug2sjYinbU_4N3zdjL0vvw,"I am seriously not kidding when I tell you that I came here with my (now) husband when we were dating and could absolutely not get any privacy.  

We stayed for one night only - maybe 6 hours really - and found the room to be clean and comfortable.

Don't ask, don't tell.",3.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",36,2.5,4274,3.69
iNryPtMsgQ8b8N1JsJceXg,_BcWyKQL16ndpBdggh2kNA,lJGE2v4S6gV4dIlw3E8ydw,"OMG Romano's is just AWFUL.  Yes, it's a chain.  Yes they serve sub-par bitter (often rancid) carafes of inedible olive oil on every table.  Yes, the food is loaded with salt.

No, this is not what Italian-American food should be.  No, I do NOT want to ever come back here.",2.0,"Italian, Restaurants",41,2.5,4274,3.69
9RWohueiZzc7S4RM0WwIBw,_BcWyKQL16ndpBdggh2kNA,eLcW0vn5Nu8yTS_ebV6a7g,"This is pretty much as ""good as it gets"" for a Fourbucks.
There is a drive through - but the walk-in service is even better with a spacious dining area - and super clean (brand new) facilities.

Excellent service and a full staff during the AM rush.

Plenty of parking.  Yay!!!",4.0,"Coffee & Tea, Food",33,3.5,4274,3.69
