review_id,user_id,business_id,review_count_user,text,average_stars_user,yelping_days,useful,funny,cool,fans,Cluster
Ji4cJNdWx8d-1tO6rUL8RQ,dq1jAvJRvFM0VAWVzj3ROA,ZngsxFOi6nobpDSjPigJ9A,3,Waited over 15 minutes to get a server to come over to help. We also waited an additional 10 minutes to get our beverages.,1.0,2698,4,1,0,0,1
d7mjHsrINIi5ZgMnX4dHEw,dBcIpt7sr7D1fwTjf_aD1A,AzseSGgDC6bVtMPEYo1CNQ,65,White truffle popcorn ice cream. Sold!,4.38,6601,41,10,26,4,1
r6LawaMMjWNkP6ByQLb6Rw,5u01qMnDy9H0MBiYEFulMw,DKyJMM2209QrTgclzoCUpw,4,The best sushi in St. Louis. Hands down. Great prices and atmosphere. Amazing happy hour prices too!,5.0,4415,0,0,0,0,0
pvyY4fdpcNNsWjGfTBQhVw,ugpEvtubvM3GPS3aHfrZbg,ZCFlWacurBaaY1bzWnYrPQ,2,The nicest people and the best service and great dry cleaning. Amber Lausberg,5.0,3986,0,0,0,0,0
nhJC1_DpYWqnJvPmWKS20A,yHNxXAKIktPblGEKWhtODw,AlnAoqsqChTn1Eg3dzLmMw,21,"Very nice place. Came without reservation, ate at the bar. One very rare restaurant where you can eat an appetizer, an entree and a dessert without being too loaded. The cuisine is fine, well elaborated and in the same time simple. An actual good combination of taste and texture. Love it!",4.36,3127,3,0,3,0,1
nhec5gjo86z4kZWghTj6hQ,yc2oYDrrEQkXoH0uLM_WQA,LXtmmAiQjiMzUiZGCqYutQ,59,"Worst White Castle in America. I travel a lot. When I put my order in she cut me off halfway so I pulled up to the window to finish my order and she was all mad throwing stuff, Slamming the window and texting all her friends while taking other people's orders. she got mine  wrong... And the Line was super long so I just trashed it.",3.36,3776,81,25,13,18,0
W7RhoZM4skXYU7QIohxdXg,g7i5MGaar5sSOpB5o2gwTA,ovCO5MGjtFnJxXmpIg7U5g,7,"Best dry cleaning service in tucson, same price since 2015. Courtney was so helpful. The pricing is amazing the best in tucson",5.0,3269,1,0,0,1,0
S96TMVqtS1wkhh5AqYYIvA,cg4zsR3vaNtJZgD4XOOgYA,55GNarL5MuVzJEslW7QjbA,1,This is my  section time coming here never had a problem. When I had to get my eyes check out and pick new glasses out everything was like 12 minutes,4.0,2129,0,0,0,0,0
Xv-hCz53qp28DOWZc2FFfQ,l2NiEbPwJ92EICSxYTj2SQ,w2ReK1oQ9EUTgrN6Y0GSRw,4,"I Do Not Go to Fast Food (if you can call it food? So, you sent this & this is my honest opinion of you serve mystery meat to my",4.33,2555,0,0,0,0,0
hNkcYFLbxZrBP7xv9kuWgg,uSLc9pJ_qqQT3mjrYXb6fw,swYqObxR8r5B6SF8ffVjZg,556,"Can't beat these guys and gals for high quality & efficient car wash.  Though lines form every time the sun comes out, they move cars through very quickly. Clean cars with no fuss are mass produced here.  Took my grandkids who loved the stuffed Sesame Street populace as well as Curious George.",4.29,5027,559,63,326,9,1
6RGyjfA1og10OPtSxwi5XA,dHb2Aq5LOoSWR1FMQCOouw,jJrXxt3eQvKVoCNaCaaXcw,6,This is the best McDonalds location food is always amazing! Most McDonalds are not worth a hoot but this one seems to actually care!,2.83,2537,1,0,0,0,0
RcNUjPUsuR2nI9kYML9qSQ,iZTyGSYrHIKA1jGEF_FJuQ,B1knyLe9BFRtpAGR5t_K6Q,11,I recently stayed there for 4 days...and I will DEFINITELY be staying there again. The location is perfect! The staff was perfect!! The room was like a cute little apt. Really enjoyed my stay and the bed was so comfy!!  If you're looking for a cozy/safe place to stay in the French quarter. This is the place!!,3.82,3977,6,1,2,1,1
N1r0VXqMUdEKEm40dDtN6w,mBI6xQyWxOAqd-EcdkyVJg,KjdGQMxhgW25Fn_A-DNY4w,7,"Here is a brief but accurate review.  Chicken low mein was good, I'd give it 4 stars.  General tsos chicken was fair -  2 1\2, maybe 3 stars.  Boneless BBQ ribs - tasty sauce, ribs were overcooked - dry.  That's another 2 1\2 stars.  Egg rolls - blah!  2 stars.  Crab rangoons - BANGIN' 5 stars.",3.43,3674,16,0,0,0,1
hEnQjwMOIbKjd6rQsg1nMw,gt1EA7K-HpyJhI21gLL72A,s4aArjOavl28bL5rPQRhRQ,4,Speedy and friendly service. Excellent customer service and great food! Highly recommend.,2.0,2146,1,0,0,0,0
wfEsV8YbXfEq-JrU4eczrg,2hDX6ou6Skm1aZ-uVnAbYA,kCrzq7PEBYCMU1xNPNQA8A,161,Great location with 2 drive up tellers. Very fast and friendly service. My fries were fresh and hot as well!,3.93,2525,141,28,65,6,0
0Ikt2Dc8foS8-cbqzFiXwQ,AqZuh61JU-FYQOjpcJwlqw,L5czvgS42pCczy4bu9lznw,88,"This is your bullet-proof glass box-type liquor store. They don't have a wine selection, or much in the way of craft beer. This is the type of place where you already know what you're getting before you set foot in the store. The service, however, was super friendly!",3.99,5548,193,42,72,13,1
04TJUS9Pe92ReDUsHkgKkQ,whzPUXp9uc4Eue5r-mhmnQ,UEvmhoxZM6S7XTY4UhJvwQ,5,"Fair, reasonable rates. One of the workers has been there for awhile, and she is easy to work with. Quick turn around with clothes.",4.8,4930,0,0,0,0,1
ElRIpoeo8nCPUP6bujUT6g,Ri1ZDm9_MDP-yNYguWLQIA,R8ZlNrV6DWz3vlU8sb0zdg,2,"So I go to planet fitness and I'm waiting on a tanning bed, I was the next in line, clearing signed in right after this girl. Some dude walks up and is standing by the counter and they gave him the bed, WTC!?!? Then he has the nerve to tell me he was after her.  Excuse me but NO HE WASN'T! Such bullcrap",3.0,4750,2,3,0,0,1
crVtLYtKkwSHHfX8GWi-BQ,lSQeB7a6zGyIcHspc0SFag,6YjwEGowvkQwK_j05xzKOA,11,"The quality of food is unmatched in Reno. This is our new favorite spot, we have tried nearly everything on the menu and it is all extraordinary. The wait staff are helpful and sweet! Additional seating just outside the restaurant or in the wine bar next door. I vote this place best of Reno'",2.77,4792,4,2,0,0,0
J9Ctv7rfyaHekvQRMKz_gg,vlCaTq5zSPU586zD_55urw,asNmnXz9rT7JpJuvuX408w,2,I come to this location at least once a week for lunch and it has  a great staff.  They handle the lunch rush very timely.,4.67,5078,0,0,0,2,1
iwKQCuv7_bbivcAP3eWYTQ,cvrV0GVMS2Kqv_CaycfeqA,YJVXMOIKhJjQczWj9YTwrg,75,"2 at the bar

Lots of well worn shirts

Tattoos on the staff

Pregnant hostess 

Food comes on plates",5.0,4350,12,31,7,3,0
tqd3viCEceEJgZT5gfgncw,x7qPYiqOXh-MshS--BpqgQ,VdgKe-RCYQisL2OSnDB2SA,12,Black pepper Shrimp Udon!! Sooo good! Crab wonton are light and delicious. I have definitely found my new go to place.,3.58,4711,3,1,0,0,1
N7ZhERi3eT8exnqnaZS0Kg,fULUKH__9l7riC_DppjC5w,SbYv-eEgFmSbRxDv--CnoQ,141,"One of the few reasonable Barber shops in Rittenhouse. I'm been pretty happy with my experiences so far, and plan to keep coming back.",3.83,5272,149,16,20,6,1
vbaRk9BusM08j4EersOlkg,4GEs5ZA6debLrqpgFnIVTQ,M2ZrrqseHE5xssUrOL0Gtg,100,"Fantastic omelettes. Food is good and service is good too. Been coming to the Three Coins Restaurant for many years. What's good about its open 24/7. 

Its a good local restaurant located on Nebraska Ave in Seminole Heights.

I recommend this place to everyone.",3.77,4848,162,47,47,10,1
GwBo_LzQRisUmP6QS56UEw,N3IajWLa6wG5898TS7lpxw,b74QZznVHAgdQBveV7Q0sw,1,"Me and my husband love this place !!! Everytime we have been we were sat right away,  food is amazing always comes out hot!!!  And the wait staff so friendly",5.0,2720,0,0,0,0,0
LCT3c08XTsAuVOVbrKIL0A,UbmtMqCnbPe6t8g5a3QeDg,qNiZVduTtw3d1zGjHSM9zg,26,"Excellent staff, equipment, and it's 24 hours.  Very clean, no waiting, free training, and super affordable.  What's not to love?!",4.07,4145,20,2,11,3,0
dDec1koeBnGo0YC2aQ18gg,5Uh6AdxxGUmVohtaB5wQmQ,Om9eoEcwPK1lp1-HEjBzeQ,15,"Great Mexican food at great prices. Good service, pleasant atmosphere. Would definitely eat here again. Just a short walk from the Marriott.",3.87,5124,12,2,3,0,1
R88f3BQkt1PjsjixkKFuxQ,KzwUdGq1Eyvfk0bZ9m5XeQ,tSkKTGnKuIYRxRS067vdlQ,1,Service was horrible. Our blond waitress was more concerned with singing karaoke then serving our drinks & food!,1.0,1528,1,0,0,0,1
qwoWBM_1RfAouswhflUx0g,F6xMamf6vGxlddbkbMg9lg,NNLzOJuNiuW990WjGbLBCw,15,"Ice cream was just average, many choices but not the best if you want good hard ice cream.",3.0,5046,25,1,17,1,1
7G8I3HiZtlioBO-cZhyVnQ,G0i7Tbo8LGIu0BFwaqWxdQ,8xAa50YbwlE53F652Ru_Nw,1,Wing appetizer was cook in old oil. You could taste it.  Beef and broccoli not great too much fat and gristle.,3.0,2391,0,0,0,0,1
90gZPI2k6arql5AAo1jFXA,YEiJOtOBBRKEpRuvZNA9Cg,Eqfks4GEn5dsI4ZGiPrCVQ,183,"too many old people, but delicious food. come for a inexpensive lunch, enough food to split your order!",4.22,5065,454,186,201,14,1
aXpi-bimbmeURvuE1kBUKg,2KAhZgqmoCXFI8Q-XAu6ww,-mY6tC7PXYOL40vc_SYX4g,33,"If I could give this place NEGATIVE stars I would. This place is the worst nail salon I've ever been. I asked for a gel manicure and within 3 minutes he was done my ""manicure"". 2 bloody nails later...I asked for him to stop and pay. Also, the service is HORRIBLE!!!!!! Do not go go this place. Pictures to follow.",4.33,4611,51,13,15,3,0
LXHsNvU22S9LvpE0rGOwKQ,tyS_PzLGc1FLI0SdjOCVRw,KNgRc5qoO4j_phmq6ANOsQ,1,Brick Oven Pizza is Da Bomb!! And so is the Steak Salad.. haven't had anything there we haven't liked!,5.0,3842,0,0,0,0,0
sx2PGaeri_2uyHexuo2ggA,bB-SstpeV8etrdon24aHmg,J0QQMuZkr7ee5ih1H19QsA,20,"Service is still going great under this management, fun and fast. Avoid the Meatball in my opinion, I'm going back to chicken or roast haha",1.85,3900,13,2,0,0,0
NdX7RJJmoSmpqLrMNH39kA,KFAHRfMI41SWzCm-MwWU_Q,j_cEe-e2Ewa18-urXS4g_g,78,"If i had known there was a pool i'd of brought my swimsuit! It's no ""W"" but on a budget you can have a nice romantic stay smack in the middle of the city. There is a cool view out front of some rose garden as an added bonus. I'd say do it, unless money isn't an issue.",3.21,6835,68,90,177,8,1
daM6jSi6ACMDWbHvk9zpDw,jPTryutsbrKpZw15KX9nFw,r-lJC2K33taUgDngE1P0_w,33,the BOMBEST place!!!!!!!! thank you for the ice cold drinks!,3.97,5554,7,0,1,0,0
Q82uW-MG_cBP-1QohnugkA,AoHz52H8UNBlxRo-jo98cQ,KTlABGqop4Q7FzD7lSkHJQ,25,"Bad attitude towards white people

I cannot they can survive without training people

It's really amazing",1.56,1542,14,13,4,0,0
gIuRAR3soKiSUsWnY1INtw,UVO0vrdc8Jfm00p7ixuf7A,ixAWNAUrA7JjwvMJzJgxmw,453,"Very creative rolls. All the fried ones are fantastic. Ceviche roll was outstanding.

Less busy on sundays and weekdays! No wait.

All ayce is at the bar",4.09,6184,272,101,132,11,1
E8PeBmLTfpYO1_IegF5rYg,e2jLwJPBTS72ZuXwhccApw,NQ6v9hMwtfS5mn2a0vQr1Q,1,Amazing homemade tortillas! Great service and awesome food,5.0,3548,0,0,0,0,0
FJrO87MNlHEDl0RpXpC46A,-25K4-aAEOD9rulUUkhkcg,1hRBDT7ajCL7u73SulUP0g,6,"Will always choose dunkin over Starbucks! The drive-thru is always fast and efficient, they've never messed up my order and the donuts always taste fresh no matter what time you get them. The coffee they have is always fresh as well and the inside is clean and inviting.",3.29,3700,0,2,0,0,0
hDGX7k_Ang2Mbn1a-fz9Nw,3PB1TY8e8NnnHBHTb96p7Q,9EgoCSRFfXUEGiJWFQLJ1w,227,"This place makes me forget I live in the prohibition era ( I mean PA). It is clean, well organized and has a great selection. Plus there is easy parking right out front. 

Hopefully this is a trend that they are trying to start with state stores. Unfortunately it probably isn't.",3.87,5371,292,60,177,17,1
mkOnlWlNe8CUpGzNi96J5g,vN2wUfNTsb6VGrd8lQVuvw,BauybYsfqd0y6KDrJ6ZxjQ,166,This is my usual Starbucks.  The driver through is pretty fast and everyone is for the most part is super nice.,4.25,5834,149,39,67,9,1
ijkA69CaUbCh-WJVUG2jPg,7j0wkJ7c2ysKJ2kT3NglGA,cE_gYW3CHEducTkEyxTDdA,35,"Bar taco.. eh, nothing special.. expensive hyped up taco spot that caters to the upper yuppie crowd.. we picked 3 small tacos for our order and ate them within lightning speed.. we were still hungry afterwards.. i wouldnt exactly call this a authentic taco spot and would not bother coming back as we were not exactly impressed",3.3,5494,49,5,22,1,0
n9p83KmAfeR_DZo5kmLjwA,wSf7iNyCOwDEaUn6p4QM1Q,_w1ttLfeBm7HRSxRmO8t2Q,10,"I came based on yelp ratings. They actually do serve alcohol and have video poker machines. They also have two tv's, video games for kids, plenty of seating and enough folding tables so long as it isn't packed. Best part is dryers will start working with just one quarter.",3.6,3054,6,1,2,0,1
T_6qPdVZPxHSzPeycrMRog,Xwk6ApunK79NkSCZQ5On8g,AVvo_pNtqhz60Xu15_BT5w,41,"Worst burger king ever, this is the perfect example of a bad restaurant. Menu screens always off, soda machine never full, employees talking with each other while I'm ordering the food. And she complains because I said it lauder. Definitely need a manager from a better area.",4.26,4775,35,6,17,0,0
aADIOoNSFfXwtTydx08_5g,t3raCxZzwjMkmfjbDJjPnw,nN1CR8PdYHFOOQZaR_p6iw,3,"We have finally found the BEST family restaurant in New Port Richey FL. 
The atmosphere, menu, and staff are Exceptional!
The food is INCREDIBLE, the portions are IMMENSE and the prices are very affordable!! How do they do it?? Don't ask, just enjoy!
Yelp needs more stars to rate the Boulevard!!",5.0,4132,0,0,0,0,0
LXy3wqt3Agx0_Z93bJ4dnA,EijyXR1wObcIKt3svyttpA,9nNyNgSoZR-isT2EkTW1eQ,4,"I brought my Ford Edge in for service on new brake booster, Very reasonably priced. My car was clean and they added windshield washer fluid,  How nice was that?!  Recommended service and repairs on my car for future. All my families vehicles will be coming to Tip Top Toys for service.",5.0,3903,5,0,0,0,0
KuhMcafHfrQjcGtbu-84cQ,WO2F0gmGSAaB6aN0ePZDxA,6kJXBe7cYeuGYn2k7sJqyg,10,Lime card free 2wks and then downgrade to $10 month costs you $10 to downgrade. Staff can't seem to get their story straight about whether they accept credit cards or not. Had to sign up with bank account but had to pay downgrade fee with a credit card. Misinformed staff is not good customer service,1.21,3179,8,2,0,1,1
fYTRLmJFcjIOGRo9U3YGlw,9aIAr16mkhlOLEcDk8KrRA,mGYi3qzpxj4EQm27TBfRpA,2,"Wonderful experience, I will definitely go back for all my car maintenance needs. Great prices and service. Check them out!",3.5,2492,1,0,0,0,0
-u78vwBWZ1q3pVVL78o-ug,kGE_cocu2E3SPKBbQUISmA,jssubXBNkiSJIhbKuDtmpQ,1,The worst service ever. Took too long to get our food even though it wasn't busy. Nobody took care of our table. Never wanna come eat again.,1.0,3127,1,0,0,0,0
Mg7mxHSjOeCJM7NqKPZPvg,FXdPE_UopHgZunxbfNH7QQ,FqOCC8Y9xryaX7sIBJcrxA,1,"Wonderful, friendly staff. Cute and small hidden spot. Great prices and exceptional food.",5.0,5312,0,0,0,0,0
fCEjetkpP9WBRGosNDBQBw,NNgQ8fV5ARQgHw-Ob7l50A,_qTgNBEvVhcXD1lHksz8RQ,1114,This is the best ice cream that you can get after parking in a poorly lit gas station at 9:45PM.,4.04,6069,4093,4750,2998,158,1
Nv_RE9xtaKoEKvhDDECyLw,_BUOwgnpvAZvfXY2yY51UA,7MTytl2V2lQEIG2lYdL3pg,121,I had veggie sandwich and it was so good! I didn't even crave for meet!,3.78,5853,91,19,46,5,1
kIRf816dpjKcoEwa4rI3LA,bokyVUz1UHRHalo-AWw6Qw,r91iGIKnHX-lltjDjaH9RA,23,"I'm a fan of sport and fitness, and this place is exactly what I need. The equipment is quite good and the staff is nice.",4.52,3298,23,0,1,1,1
ZWvQrWjkzR0l_tk2zOGorg,lGxAnJrNBBCK-N98oh-X2A,H3SiRlCDxWKgLhIm9UTacw,32,"So I'm altering my review.. After the first 3-4 times going here Kurt never remembered me (guess I'm not too memorable?) so I just kept getting 25% off for my ""first cut"". LOL. I felt like going to a place where the hairdresser would remember at least my face so I stopped going. Meh.",3.32,4874,24,9,9,0,1
75sd9Va7Ny3NpQzD_UNZfw,X31wY-lmKTHlZSnTTIliug,UhIdCsdiWS4K0EkbvVdlAw,24,Their delivery is a lil bit slow. The pizza is delicious with the right amount of grease that slides off the pizza. Great Philly Pizza! YUM!,4.04,2986,9,5,2,0,0
uSJxuO-bLkVvtpVazN2OMQ,Q9qFpz5SEV7cF_77w7LrWg,Lmb-iJGzBu_1W-dEvB3TBQ,17,"Wonderful restaurant!!!!! Great food, service and decor!!! Can't wait to return!!!",3.0,4325,3,0,2,0,0
KFdqQ_OHgTaL1mLZE1iX8A,Yx0NKAVUjBiNaYEr9icJig,BvpSIYibEitPN-SH14I9yg,67,"Okay, was pleasantly surprised (a month after earlier review) to discover that this McDonalds was no longer blocking Yelp. Thank you! Freedom! Whooo!",3.88,5867,106,41,37,1,1
gnzlVwDMKd1Mf4k7baGJ7A,cG2Mefl0o-UYG4p1qM9ZMg,IMLngTfC_a7wLEIr3QklPQ,15,"Food overall wasn't good. Jalapeño poppers were soggy. Asked for breaded wings got regular wings, also cheesesteak was soggy. Not again no thanks.",2.93,1816,2,0,0,0,1
fgm6M12zwyLW92cN9wMv5A,IXpV1MU2KH3dJrM8DGXTHQ,0BXnGq6eJuiWR7270TipoA,20,"Good sushi and bentos. Best we have found so far in tucson. Filler. Filler. Filler
 For yelp.",3.33,4890,30,3,0,0,0
ShAPZn9duaxjF26rB4Onlw,J3mgaMXlMsdzvvwWpIV7vg,8mwV72Ro56pN6nbqAojaKg,19,"I don't care what authentic Chinese food is. Everything here is awesome. Best General's Chicken in the World. In fact, I often daydream that it's raining General Tso's from Chef Chun. And I'm frolicking through a meadow catching pieces with a butterfly net. A tad pricey for the portions, but...Great place!",3.19,4515,50,38,7,1,0
RlTyWKTzyU3DtPwf_SDquQ,iBunLxiABsSAbXr37X5Iww,rExhzd1HNwLDQyaIjraVlQ,2,Great service and staff! Love my haircut! Stylist worked with my hairs texture and understood completely. Thank you Kink! My curly hair is saaaved!!,5.0,3170,1,0,0,0,1
zpTgwBXXxZ1zZnQ78I7c2A,MyNEJTKbVu_fOof6Q2MUuw,GhBM8Aqfeeel8rW4S88iAQ,22,"Had a fabulous time getting dip powder manicures at the nail bar. Nathan was fabulous, space is beautiful, great shop!!",4.87,4757,20,8,9,0,1
_pEoOMFSPlGLCxuoHW50Fw,ymWUU-Vnk-DFVomuqcsEKw,WkcmS4_R6iCUdxuNEEcM-Q,1,Absolutely terrible fish tacos. Street meat is way better   Dry. Cold. Just awful. Service was subpar as well.,1.0,2414,1,0,0,0,0
u5bFzgxno_oH61tJs3xqlg,U6NrwyuJ2iTmSR0Ra_Wa5g,OcfqipElostm3exTM7-4vQ,69,Pizza tasted alright...just taste like Pizza but the price does seem a bit high!,3.99,4530,24,3,7,2,1
Sy2AKU4L3rH8kTpFX2vAIQ,AI52aby7YmpH8iZLhWavVA,69W6bamIBoGO6mX272CiPg,1,"Delicious,mouth watering perfect little sushi's. The chef is so sweet, staff so kind, server very generous :)) I don't live anywhere near here but I'd drive 30 mins for Yummy sushi and kind service. I love love love love love this place and it's worth the drive ´･･`",5.0,1253,1,0,0,0,0
gZ-0uj6FD-GOloDzmwHGTg,T_Aq1IOZ-DJ1H6CFcBgJwQ,vP6BGF8IqbXlLQiDP5n6dA,1,Horrible. It's rude to even think that this is Japanese food. Definitely a waste of money.,1.0,2733,0,0,0,0,0
2wUPRfhMWwFJdFAcmGuEwQ,zoDpV1B_HtdOeLlOthSHUw,VrcIYAsfBknPDpiuzKZ3Ug,3,The best sushi spot in all of PA.. a true hidden gem...I hesitated to give a great review because of selfish reasons but can I tell you that no matter what you order you will not be disappointed! Take out or eat-in the food is always beautifully represented..I LOVE THIS PLACE oh the prices are great to...,2.0,2696,2,0,0,1,0
wcSQkxOCuZOHe403wVphug,olYUmPCClD3K4WMUykn3NQ,0kFnj6G-EQhRNCvHALK7uw,17,Johnny's continues to put the fitness goals of their mebers first! Mark and the crew always deliver top notch service! Keep up the good work Johnny!,4.6,4103,2,0,1,0,0
AGQUeqtJTWugQkUN_nFH3Q,z0Sy2UYlDt7YfPOp0IpP-g,YzluF3FNGjnW-tOrLZt8JA,142,Service is okay. Came for restaurant week but did not think the amount of food was worth it.,3.95,2695,29,16,9,2,1
HaeQzeBhy3dHuKFC0vwUcA,BORVEC3UksQWnH-j5gIZvQ,scf430KfZAuglZdiv44zOQ,11,Best hibachi lunch special ever ! So good & the employees are so kind and welcoming. This place never does me wrong & takes care of me . It's Must try !,2.64,3158,3,1,0,0,0
GR7Lf_BirGE4_Oxsmiqc8g,4GHW14ZWZn8aIapZWBYGWw,dzFbGUUV5eh-ZR81RCnv7g,2,great gym with great staff! everyone is so helpful. I love the all womens workout area and the classes they offer.,3.0,4229,1,0,0,0,0
Fq4w6Xemw5TAoqQxsgkuEA,Hlpo2CRjcOM0XmH7x72M7Q,EPkF-beh6gg_s3HtlAdfiw,1,Loved our experience here! Owner was so nice and helpful. Food was so fresh and yummy!,5.0,3833,0,0,0,0,0
AQEefZyPNU4u9njYRwuMiA,cSrSyTrCLqaK0sJddq1qjQ,bVAzNbwdMaOjvYMPKAMr5Q,56,Excellent service and cleaning is done very well.  They also do a great job on alterations!  Friendly and accommodating owners.  Best prices anywhere!!,4.05,6205,49,7,5,1,1
S2gIAEgU0kDQsEXOFysHQw,76VQubJFmWwfzVpn4QXMxw,M2ZrrqseHE5xssUrOL0Gtg,11,If I could have given it zero I would! They DISCRIMINATE so if you're looking to get treated fairly- forget it!,3.73,3622,6,1,0,1,1
R7PgWzKB5gOPceoy3eDoIQ,Xm3bpAP5zqxwu7CyiIcCDQ,9svAtGS29ILNTN0eYdi3UQ,4,Best pizza ever!! Love the deep dish and the sweet sauce!! I have not tasted a pizza to even compare!,3.0,1827,0,0,0,0,0
9h98W18Fi3Otzkj5WwtkeA,LbnEgAzhlB8qS4F3yjmOLQ,SYjwqAXVSXR59mqjLEy3mg,1,Staff is extremely rude. There are so many liquor stores in Nashville. Literally go anywhere else or even the grocery store.,1.0,1225,0,0,0,0,0
eok2K0rYJGGRV1WvTwyzjA,8mXBi5aDdtT-9i8hJ0a6mQ,hL76rhaLE86ZJvZBuMeb6Q,5,The food is good but service and management is terrible. Always disappointing on available items and they close before there advertised time.,2.4,4989,5,1,0,0,1
